Case_Type,Case_Num,State_Case_Num,Rec_Local_Office,Rec_State_Office,Rec_Regional_Office,Last_Sig_Event,Last_Event_Date,Region_ID,Work_State,Occ_Code,Occ_Title,Num_Aliens,Salary,Unit_of_Pay,Prevail_Wage,Unit_of_Pay_Prev,Emp_Name,Emp_City,Emp_State,Contact_Last,Contact_First,Att_Firm_Name,Att_Last,Att_First,Att_City,Att_State
"TEMP","05426247",,"07/24/03 00:00:00","07/24/03 00:00:00","08/29/03 00:00:00","Denied, Temporary","10/01/03 00:00:00",5,"MO","408.687-014","Laborer, Landscape",10,8.5000000000000000e+00,"H",6.1699999999999999e+00,"H","Global Golf, Inc.","Jackson","MO","Radetic","Thomas","ALS, Inc.","Cervantes","Berthina","Lexington","KY"
"TEMP","05425505",,"07/27/03 00:00:00","07/27/03 00:00:00","07/28/03 00:00:00","Denied, Temporary","10/01/03 00:00:00",5,"MN","419.224-010","Horse Trainer",1,3.6500000000000000e+03,"M",8.6999999999999993e+00,"H","Janssen Performance Horses","Waconia","MN","Janssen","Robert","Martinez","Martinez","Reuben","St. Paul","MN"
"TEMP","05425909",,"07/14/03 00:00:00","07/14/03 00:00:00","08/18/03 00:00:00","Denied, Temporary","10/01/03 00:00:00",5,"IN","313.361-030","Cook, Specialty, Foreign Food",1,1.0710000000000001e+01,"H",1.0710000000000001e+01,"H","Latham Farms","Center Point","IN","Latham","Larry",,,,,
"TEMP","05425910","v-il50379","06/24/03 00:00:00","06/24/03 00:00:00","08/18/03 00:00:00","Certified, Temporary","10/01/03 00:00:00",5,"IL","301.677-010","Child Monitor",1,6.7500000000000000e+00,"H",6.5499999999999998e+00,"H","Not Available","Evanston","IL","Not Available","Not Available",,,,,
"TEMP","05425911","v-il49856","06/24/03 00:00:00","06/24/03 00:00:00","08/18/03 00:00:00","Denied, Temporary","10/01/03 00:00:00",5,"IL","301.677-010","Child Monitor",1,1.2943000000000000e+04,"A",1.3228000000000000e+04,"A","Not Available","Chicago","IL","Not Available","Not Available","American Services Network, PC","Reyes","Earl","Chicago","IL"
"TEMP","05425912",,"07/28/03 00:00:00","08/15/03 00:00:00","08/18/03 00:00:00","Certified, Temporary","10/01/03 00:00:00",5,"MO","904.383-010","Tractor Trailer Truck Driver",30,1.4340000000000000e+01,"H",1.4340000000000000e+01,"H","Trans West Express,LC","Cape Girardeau","MO","Rutherford","Pam","Lichtenegger, Weiss, Fetterhoff, & Cooper, LLC","Cooper","Nathan","Jackson","MO"
"TEMP","05425955","232541SDK","07/18/03 00:00:00","07/18/03 00:00:00","08/19/03 00:00:00","Certified, Temporary","10/01/03 00:00:00",5,"MI","153.227-018","Instructor, Sports",26,1.7719999999999999e+01,"H",1.8649999999999999e+01,"H","Boyne USA/Inn at Bay Harbor","Boyne Falls","MI","Crum","Gretchen","Timothy O'Leary, Attorney at Law","O'Leary","Timothy","Washington","DC"
"TEMP","05426104","12779","05/20/03 00:00:00","05/20/03 00:00:00","08/25/03 00:00:00","Denied, Temporary","10/01/03 00:00:00",5,"OH","323.687-014","Cleaner, Housekeeping",250,6.0000000000000000e+00,"H",7.8700000000000001e+00,"H","Mid-West Building Services","Picerington","OH","Mendyuk","Oleg","Keith Belkin, Attorney at LAw","Belkin","Keith","Shaker Heights","OH"
"TEMP","05426106","12780","05/20/03 00:00:00","05/20/03 00:00:00","08/25/03 00:00:00","Denied, Temporary","10/01/03 00:00:00",5,"OH","381.687-034","Waxer, Floor",250,6.2500000000000000e+00,"H",1.0119999999999999e+01,"H","Mid-West Building Services","Picerington","OH","Mendyuk","Oleg","Keith Belkin, Attorney at LAw","Belkin","Keith","Shaker Heights","OH"
"TEMP","05426220","V-IL48574","03/24/03 00:00:00","03/24/03 00:00:00","08/28/03 00:00:00","Denied, Temporary","10/01/03 00:00:00",5,"IL","408.687-014","Laborer, Landscape",1,7.3899999999999997e+00,"H",7.0400000000000000e+00,"H","Jim's Landscape & Lawncare, Inc.","Brookfield","IL","Gonagill","James","United Hispanic Caring Hearts","Schlenker-Leon","Evelyne","Fort Wayne","IN"
