Case_Type,Case_Num,State_Case_Num,Rec_Local_Office,Rec_State_Office,Rec_Regional_Office,Last_Sig_Event,Last_Event_Date,Region_ID,Work_State,OCC_Code,OCC_Title,Num_Aliens,Salary,Unit_of_Pay,Prevail_Wage,Unit_of_Pay_Prev,Emp_Name,Emp_City,Emp_State,Contact_Last,Contact_First,Att_Firm_Name,Att_Last,Att_First,Att_City,Att_State
"TEMP","06357620","04-1303","08/05/04 00:00:00","09/08/04 00:00:00","09/14/04 00:00:00","Certified, Temporary","10/01/04 00:00:00",6,"CO","955.687-014","Snow Shoveler",6,7.5200,"H",7.5200,"H","PALOMO'S CONSTRUCTION, INC.","DENVER","CO","PALOMO","FLORENCIO","F.E.W.A.","Romero","Rita","Denver","CO"
"TEMP","06357627","000000098436","08/13/04 00:00:00","09/10/04 00:00:00","09/15/04 00:00:00","Certified, Temporary","10/01/04 00:00:00",6,"TX","459.687-010","Laborer, Brush Clearing",52,6.5000,"H",6.2300,"H","LAJITAS AIRPORT LLC","LAJITAS","TX","MCINTIRE","MIKE","Delinko-Taylor","Delinko-Taylor","Diane","New York","NY"
"TEMP","06357619","04-1305","08/05/04 00:00:00","09/08/04 00:00:00","09/14/04 00:00:00","Certified, Temporary","10/01/04 00:00:00",6,"CO","526.686-010","Baker Helper",10,8.6200,"H",7.2500,"H","BAKED IN TELLURIDE","TELLURIDE","CO","GREENE","GERALD","Labor Consultants International","Muilenburg","Ginny","Post Falls","ID"
"TEMP","06357433","000000098300","08/09/04 00:00:00","09/08/04 00:00:00","09/10/04 00:00:00","Certified, Temporary","10/01/04 00:00:00",6,"TX","869.687-026","Construction Worker II",15,7.5700,"H",7.5700,"H","F L CRANE & SONS INC","HUTTO","TX","WIYGUL","BEVERLY","AGWORKS, INC.","BREMER","DAN","LAKE PARK","GA"
"TEMP","02510640","20040071350","08/05/04 00:00:00","08/05/04 00:00:00","09/17/04 00:00:00","Denied, Temporary","10/01/04 00:00:00",2,"NY","313.131-014","Chef",1,23.6700,"H",23.6700,"H","OH TAISHO","NEW YORK","NY","UMIYA","YUMIKO","C STEVEN HORN","HORN","C STEVEN","NEW YORK","NY"
"TEMP","01341131",,"08/10/04 00:00:00","08/10/04 00:00:00","09/28/04 00:00:00","Certified, Temporary","10/01/04 00:00:00",1,"VT","323.687-014","Cleaner, Housekeeping",30,8.5000,"H",8.5000,"H","Stratton Mountain Resort","Stratton Mountain","VT","Westbrook","Katie","Antioch Associates U.S.A.","Zimmerman","Jane","S. Dennis","MA"
"TEMP","01341133",,"07/29/04 00:00:00","07/29/04 00:00:00","09/28/04 00:00:00","Certified, Temporary","10/01/04 00:00:00",1,"VT","323.687-014","Cleaner, Housekeeping",6,8.5000,"H",8.5000,"H","Northern Lights Lodge","Stowe","VT","Holzgruber","Al","Robert Laltoo","Laltoo","Robert","Cape Neddick","ME"
"TEMP","01341135",,"08/10/04 00:00:00","08/10/04 00:00:00","09/28/04 00:00:00","Certified, Temporary","10/01/04 00:00:00",1,"VT","323.687-014","Cleaner, Housekeeping",12,8.5000,"H",8.5000,"H","Snowdance LLC, DBA Ascutney Mountain Resort","Brownsville","VT","Girouard","Lynn","Antioch Associates U.S.A.","Zimmerman","Jane","S. Dennis","MA"
"TEMP","02510623","20040072530","08/12/04 00:00:00","08/12/04 00:00:00","09/14/04 00:00:00","Denied, Temporary","10/01/04 00:00:00",2,"NY","313.361-030","Cook, Specialty, Foreign Food",2,19.5000,"H",18.2300,"H","ANGORA FOOD MARKET","MEDFORD","NY","ARTUGMAC","TEMEL","Stephen S. Santo Esquire","Santo Esq.",,"New York","NY"
"TEMP","03411085",,"08/17/04 00:00:00","08/17/04 00:00:00","09/23/04 00:00:00","Certified, Temporary","10/01/04 00:00:00",3,"VA","525.684-030","Fish Cleaner",19,5.1500,"H",6.1800,"H","Hampton River LLC","Hampton","VA","Scharnhorst","A.","KT Labor, INC.","Sowards","Tish","Lexington","KY"
