CASE_NO,APPLICATION_TYPE,DECISION_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS_1,EMPLOYER_ADDRESS_2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,BASIC_HOURS_PER_WEEK,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,ALIEN_WORK_STATE
"A-07074-03570","H-2A","04/09/07 09:55:00","Certified - Full","5/1/2007","4/30/2008","ROY M. GREENE","P.O. BOX 130",,"PHENIX CITY","AL","36867","MOUNTAIN PLAINS AGRICULTURAL SERVICE","SHEEP/GOAT HERDER",6.0000000000000000e+00,6.0000000000000000e+00,4.0000000000000000e+01,650.0000,"mth","AL"
"A-06311-02275","H-2A","12/05/06 13:41:00","Certified - Full","12/31/2006","6/10/2007","ATKINSON NURSERY","6200 HALF MILE ROAD",,"THEODORE","AL","36582-2721",,"HORTICULTURAL WORKER",4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+01,8.3700,"hr","AL"
"A-06311-02275","H-2A","12/05/06 13:41:00","Certified - Full","12/31/2006","6/10/2007","SHORE ACRES PLANT FARM, INC.","11545 BELLINGRATH ROAD",,"THEODORE","AL","36582",,"HORTICULTURAL WORKER",3.1000000000000000e+01,3.1000000000000000e+01,4.0000000000000000e+01,8.3700,"hr","AL"
"A-06311-02275","H-2A","12/05/06 13:41:00","Certified - Full","12/31/2006","6/10/2007","GULF SOUTH GROWERS ASSOCIATION","ATTN:  JAMES K. HOLLAND","161 WINDMILL LANE","LUCEDALE","MS","39452","AGWORKS, INC.","HORTICULTURAL WORKER",3.5000000000000000e+01,3.5000000000000000e+01,4.0000000000000000e+01,8.3700,"hr","AL"
"A-07129-04061","H-2A","05/22/07 15:04:00","Certified - Full","6/23/2007","11/15/2007","OAK HILL TREE FARM LLC","7600 GRAND BAY WILMER ROAD","PO BOX 727","GRAND BAY","AL","36541","ILMC - SARAH E. FARRELL, V.P.","HORTICULTURAL WORKER II",4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+01,8.5100,"hr","AL"
"A-07136-04116","H-2A","06/12/07 11:12:00","Certified - Partial","7/6/2007","11/30/2007","JOHNSON PRODUCE","675 MILL STREET",,"WEDOWEE","AL","36278","AGWORKS, INC.","FARMWORKER",1.5000000000000000e+01,1.2000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","AL"
"A-07178-04398","H-2A","07/12/07 15:45:00","Certified - Full","8/11/2007","5/31/2008","BONNIE PLANT - PS","1727 HWY 223",,"UNION SPRINGS","AL","36089","DAVID DONALDSON ,USAMEX LTD CO.","HORTICULTURAL WORKER",4.4000000000000000e+01,4.4000000000000000e+01,4.8000000000000000e+01,8.5100,"hr","AL"
"A-06354-02475","H-2A","01/08/07 08:13:00","Certified - Full","2/1/2007","11/24/2007","HARRELL & SONS, INC.","POST OFFICE BOX 215",,"HAYNEVILLE","AL","36040","AGWORKS, INC.","BEE WORKER",5.0000000000000000e+00,5.0000000000000000e+00,4.8000000000000000e+01,8.3700,"hr","AL"
"A-06289-02213","H-2A","11/15/06 07:14:00","Certified - Full","12/15/2006","6/15/2007","BONNIE PLANT FARM","1601 SOUTH MONROE STREET",,"ATHENS","AL","35611","AGWORKS, INC.","HORTICULTURAL WORKER",1.0000000000000000e+01,1.0000000000000000e+01,4.0000000000000000e+01,8.3700,"hr","AL"
"A-06346-02404","H-2A","01/17/07 16:22:00","Certified - Full","2/15/2007","11/15/2007","FORKLAND SPRINGS FARM, LLC","100 E. JACKSON ST.",,"DEMOPOLIS","AL","36732",,"FARMWORKER, FISH FARM",3.0000000000000000e+00,3.0000000000000000e+00,4.0000000000000000e+01,8.3700,"hr","AL"
"A-07045-03175","H-2A","03/09/07 16:23:00","Certified - Full","4/1/2007","9/1/2007","MULBERRY SOD FARM","P.O. BOX 190",,"CLANTON","AL","35171","AGWORKS, INC.","HARVEST WORKER, FRUIT",3.7000000000000000e+01,3.7000000000000000e+01,4.0000000000000000e+01,8.3700,"hr","AL"
"A-07045-03175","H-2A","03/09/07 16:23:00","Certified - Full","4/1/2007","9/1/2007","PATTERSON FARMS","106 COUNTY RD. 363",,"CLANTON","AL","35045",,"HARVEST WORKER, FRUIT",1.6000000000000000e+01,1.6000000000000000e+01,4.0000000000000000e+01,8.3700,"hr","AL"
"A-07046-03190","H-2A","03/09/07 12:00:00","Certified - Full","4/3/2007","12/15/2007","WALLER FARMS","4320 ALABAMA HWY 21",,"SYLACUAGA","AL","35151","THE LABOR COMPANY / AMANDA WRIGHT","FARM WORKER; DIVERSIFIED CROPS II",3.0000000000000000e+00,3.0000000000000000e+00,4.0000000000000000e+01,8.3700,"hr","AL"
"A-06279-02191","H-2A","12/06/06 14:11:00","Certified - Full","1/8/2007","9/6/2007","REX A. HORTON","28341 BARKARD DR.",,"ORANGE BEACH","FL","36561","ALLYSON PEARCE","FARMWORKER, DIVERSIFIED CROP",3.0000000000000000e+00,3.0000000000000000e+00,4.0000000000000000e+01,8.3700,"hr","AL"
"A-07047-03222","H-2A","03/23/07 15:41:00","Certified - Full","4/13/2007","5/23/2007","CHILTON RESEARCH & EXTENSION CENTER","201 HARGIS HALL","AUBURN UNIVERSITY","AUBURN","AL","36849-5159","USA WORKS","HARVEST WORKER, FRUIT",6.0000000000000000e+00,6.0000000000000000e+00,4.0000000000000000e+01,8.5100,"hr","AL"
"A-07100-03802","H-2A","04/26/07 11:55:00","Certified - Full","5/25/2007","11/15/2007","GILLESPIE FARMS","752 MAYALL ROAD",,"NEW GLOUCESTER","ME","04260","NEW ENGLAND APPLE COUNCIL","FARMWORKER, DIVERSIFIED CROP",2.0000000000000000e+00,2.0000000000000000e+00,4.0000000000000000e+01,9.5000,"hr","AL"
"A-07053-03307","H-2A","03/22/07 17:21:00","Certified - Full","4/17/2007","8/20/2007","JIMMY DURBIN FARMS","POST OFFICE BOX 1777",,"CLANTON","AL","35046","AGWORKS, INC.","FARMWORKER, FRUIT",1.6000000000000000e+01,1.6000000000000000e+01,4.0000000000000000e+01,8.5100,"hr","AL"
"A-07053-03307","H-2A","03/22/07 17:21:00","Certified - Full","4/17/2007","8/20/2007","THOMAS SMITH FARM","13531 CO. RD. 29",,"CLANTON","AL","35045",,"FARMWORKER, FRUIT",4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+01,8.5100,"hr","AL"
"A-07005-02603","H-2A","01/29/07 11:04:00","Certified - Full","3/1/2007","11/1/2007","MAVERICK CAPITAL, LLC.","416 TRAVIS, SUITE 715",,"SHREVEPORT","LA","71101","LINDA  WHITE & ASSOCIATES","FARM WORKER",2.0000000000000000e+00,2.0000000000000000e+00,4.0000000000000000e+01,8.3700,"hr","AL"
"C-07022-04433","H-2A","02/12/07 15:47:00","Certified - Full","3/15/2007","11/30/2007","AMPCO, ET. AL.","596 HIGHWAY 138 E.",,"TILLAR","AR","71670","AGWORKS, INC.","FARMWORKER GENERAL 11",6.6000000000000000e+01,6.6000000000000000e+01,4.0000000000000000e+01,7.5800,"hr","AR"
"C-07022-04433","H-2A","02/12/07 15:47:00","Certified - Full","3/15/2007","11/30/2007","OXBOW FARMS, INC.","992 HWY. 138E.",,"TILLAR","AR","71677",,"FARMWORKER GENERAL 11",1.2000000000000000e+01,1.2000000000000000e+01,4.0000000000000000e+01,7.5800,"hr","AR"
"A-06275-02183","H-2A","10/26/06 15:39:00","Certified - Full","11/24/2006","8/20/2007","JIMMY DURBIN FARMS","POST OFFICE BOX 1777","3233 COUNTY ROAD 30","CLANTON","AL","35046","AGWORKS,  INC.","FARMWORKER, DIVERSIFIED",2.0000000000000000e+01,2.0000000000000000e+01,4.0000000000000000e+01,8.3700,"hr","AL"
"C-07022-04428","H-2A","02/12/07 10:27:00","Certified - Full","3/15/2007","11/30/2007","PENN BROTHERS PTR LANDLEVELING","121 LAWRENCE 504","P.O. BOX 258","PORTIA","AR","72457","AGRI PLACEMENTS INT'L- ELAINE FLAMING","FARMWORKER FIELD CROP II",3.0000000000000000e+00,3.0000000000000000e+00,4.8000000000000000e+01,7.5800,"hr","AR"
"C-07033-04619","H-2A","03/02/07 10:27:00","Certified - Full","4/1/2007","12/31/2007","HARRELL FARMS","PO BOX 743",,"MONETTE","AR","72447","DAVID DONALDSON (USAMEX LTD)","FARMWORKER, FIELD CROP 1",4.0000000000000000e+00,4.0000000000000000e+00,4.8000000000000000e+01,8.0100,"hr","AR"
"C-07177-05873","H-2A","07/16/07 12:08:00","Certified - Full","8/15/2007","10/26/2007","MATTHEWS SWEET POTATO FARM","18 CR 377",,"WYNNE","AR","72396","AGWORKS, INC.","FARMWORKER, VEGETABLE II",1.5000000000000000e+01,1.5000000000000000e+01,4.0000000000000000e+01,8.0100,"hr","AR"
"C-07177-05872","H-2A","07/13/07 11:26:00","Certified - Full","8/15/2007","10/20/2007","MATTHEWS RIDGEVIEW FARMS","2400 BARTLETT ROAD",,"WYNNE","AR","72396","AGWORKS, INC.","FARMWORKER, VEGETABLE",4.4000000000000000e+01,4.4000000000000000e+01,4.0000000000000000e+01,8.0100,"hr","AR"
"C-07099-05416","H-2A","04/27/07 10:20:00","Certified - Full","6/1/2007","12/1/2007","RIVERSIDE FARM","1024 ISLAND DRIVE",,"MEMPHIS","TN","38103","DAVID DONALDSON (USAMEX LTD CO.)","FARMWORKER, RICE",4.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+01,8.0100,"hr","AR"
"C-07067-05128","H-2A","03/19/07 11:31:00","Certified - Full","4/1/2007","11/30/2007","FIVE OAKS INVESTMENTS, LLC","PO BOX 586",,"DEWITT","AR","72042","DONNA GALCHUS","HORTICULTURAL WORKER II",8.0000000000000000e+00,8.0000000000000000e+00,6.0000000000000000e+01,8.0100,"hr","AR"
